Source type,Brand or page,URL,What it informed
Official site,StockEdge pricing,https://beta.stockedge.com/pricing,Pricing and feature packaging
Official docs,GoCharting docs,https://docs.gocharting.com/docs/get-started/gocharting-account,"Account, saved layouts and paid features"
Official docs,GoCharting strategy charts,https://gocharting.com/docs/charting/chart-types/Strategy-or-Formula-Charts-in-GoCharting,Formula and strategy chart capability
Official site,Definedge Opstra product page,https://www.definedgesecurities.com/products/opstra/,Options feature depth and free vs pro framing
Official docs,Definedge Opstra user guide,https://www.definedgesecurities.com/user-manuals/opstra-user-guide/,Detailed options feature list
Official site,OI Pulse plans,https://www.oipulse.com/app/plans,Category confirmation for OI-focused product
Official site,Elearnmarkets course page,https://www.elearnmarkets.com/courses/display/a2z-of-stock-market-for-beginners,Education product model
Official site,Screener premium,https://www.screener.in/premium/,Pricing and premium feature detail
Official help/blog,Tickertape Pro,https://www.tickertape.in/blog/tickertape-pro-features-for-advanced-investment-analysis/,Advanced screening and forecast features
Official site,Groww upcoming IPO,https://groww.in/ipo/upcoming,IPO hub structure and content depth
Official site,Zerodha IPO,https://zerodha.com/ipo/,IPO workflow and archive structure
Official site,smallcase home,https://www.smallcase.com/,"Wealth products, content and portfolio framing"
Official content,smallcase learn,https://www.smallcase.com/learn/,SEO and educational content scale
Official content,smallcase subscriptions,https://www.smallcase.com/learn/how-does-smallcase-subscription-work/,Subscription model
Official site,Dhan options,https://dhan.co/options//,Trader platform positioning
