Page family,Examples,Why it matters,Priority
Stock pages,/stocks/tata-motors,Highest search volume and best compound SEO asset,P0
Stock compare pages,/compare/tata-motors-vs-maruti,High intent and strong internal linking,P1
Sector pages,/sectors/auto-stocks,Cluster authority and screener bridge,P0
Mutual fund pages,/mutual-funds/hdfc-mid-cap-opportunities,Large traffic pool and evergreen intent,P0
AMC pages,/amc/hdfc-mutual-fund,Strong hub pages for internal linking,P1
IPO main pages,/ipo/upcoming,Fast-moving traffic and recurring freshness,P0
IPO detail pages,/ipo/hero-fincorp,Captures high-intent search and listing lifecycle,P0
IPO GMP pages,/ipo/hero-fincorp-gmp,Massive short-window search interest,P0
IPO allotment pages,/ipo/hero-fincorp-allotment-status,Very high spike traffic,P0
PMS pages,/pms/providers,Premium audience acquisition,P2
AIF pages,/aif/funds,Premium audience acquisition,P2
Calculator pages,/calculators/sip,Reliable evergreen SEO and lead gen,P1
Glossary and explainers,/learn/what-is-open-interest,Supports AI and product education,P1
Screen result pages,/screens/high-roe-low-debt,User value and content scale,P1
Market event pages,/results-calendar,Daily habit traffic,P1
